PROYECTO,EMPLAZAMIENTO,ID PROPIETARIO,ZONA DE CONCURRENCIA,LONGITUD,LATITUD,CODIGO MUNICIPIO 
TSI-068100-2024-0085,07_07037_000490,SPA-IB00149,"Balears, Illes",4.16098438_ ,40.00884395_ ,7037
TSI-068100-2024-0085,07_07038_000500,1059,"Balears, Illes",3.00894941_ ,39.56190590_ ,7038
TSI-068100-2024-0085,07_07002_000008,SPA-IB00411,"Balears, Illes",4.18945485_ ,39.90523847_ ,7002
TSI-068100-2024-0085,07_07043_000905,SPA-IB00017,"Balears, Illes",3.02489811_ ,39.51283180_ ,7043
TSI-068100-2024-0050,07_07059_001162,0000000-0701707,"Balears, Illes",2.99715785_ ,39.32690689_ ,7059
TSI-068100-2024-0050,07_07019_000283,0000000-0700158,"Balears, Illes",2.88497249_ ,39.82233592_ ,7019
TSI-068100-2024-0050,07_07020_000293,0000000-0700019,"Balears, Illes",2.58012337_ ,39.66674567_ ,7020
TSI-068100-2024-0050,07_07012_000171,0000000-0702047,"Balears, Illes",2.96609601_ ,39.77773882_ ,7012
TSI-068100-2024-0085,07_07010_000087,88241,"Balears, Illes",2.69128056_ ,39.71798231_ ,7010
TSI-068100-2024-0085,07_07029_000361,07_00002,"Balears, Illes",2.86379361_ ,39.71932833_ ,7029
TSI-068100-2024-0085,07_07052_001024,07_00001,"Balears, Illes",4.21782639_ ,39.83467083_ ,7052
TSI-068100-2024-0053,08_08097_003713,0000000-0803079,Barcelona,2.49825474_ ,41.73248743_ ,8097
TSI-068100-2024-0053,08_08269_003722,0000000-0807444,Barcelona,2.28519978_ ,41.83613347_ ,8269
TSI-068100-2024-0053,08_08183_003716,0000000-0808802,Barcelona,2.31059114_ ,41.98623038_ ,8183
TSI-068100-2024-0053,08_08208_003720,0000000-0808800,Barcelona,1.88709099_ ,41.49920219_ ,8208
TSI-068100-2024-0053,08_08132_002500,0000000-0803086,Barcelona,1.73533859_ ,42.01764254_ ,8132
TSI-068100-2024-0053,08_08049_003710,0000000-0801240,Barcelona,1.84067584_ ,42.01232913_ ,8049
TSI-068100-2024-0053,08_08137_002530,0000000-0800178,Barcelona,2.39490848_ ,41.75939408_ ,8137
TSI-068100-2024-0053,08_08070_001829,0000000-0800854,Barcelona,1.88781967_ ,41.49679424_ ,8208
TSI-068100-2024-0053,08_08208_003061,0000000-0802755,Barcelona,1.88531335_ ,41.50278923_ ,8208
TSI-068100-2024-0053,08_08261_003292,0000000-0807098,Barcelona,2.71511471_ ,41.63086224_ ,8261
TSI-068100-2024-0053,08_08018_000163,0000000-0804638,Barcelona,1.87240780_ ,41.86575148_ ,8018
TSI-068100-2024-0053,08_08036_001666,0000000-0801002,Barcelona,1.43766786_ ,41.73611610_ ,8036
TSI-068100-2024-0053,08_08185_002797,0000000-0802253,Barcelona,1.54848487_ ,41.63190313_ ,8185
TSI-068100-2024-0053,08_08044_001693,0000000-0806536,Barcelona,1.68665085_ ,41.53521449_ ,8044
TSI-068100-2024-0053,08_08116_002347,0000000-0800339,Barcelona,2.36213007_ ,41.98037971_ ,8116
TSI-068100-2024-0053,08_08185_002796,0000000-0800036,Barcelona,1.61473480_ ,41.65947378_ ,8185
TSI-068100-2024-0053,08_08207_003059,0000000-0807961,Barcelona,2.43711191_ ,41.70279395_ ,8207
TSI-068100-2024-0053,08_08146_002549,0000000-0801685,Barcelona,1.85129083_ ,41.35132574_ ,8146
TSI-068100-2024-0053,08_08902_003723,0000000-0802176,Barcelona,2.28695071_ ,41.54761417_ ,8902
